,zip,latitude,longitude,city,state,county,name,Weather_Stations
74,91406,33.7866,-118.29899999999999,Van Nuys,CA,Los Angeles,10102774 - Jet Aviation,KTOA0
75,60605,41.8119,-87.6872,Chicago,IL,Cook,BW_Hackathon_2019,72534
76,75605,32.5057,-94.7188,Longview,TX,Gregg,10103445-Dollar_General_Longview,72247
77,92651,33.5209,-117.741,Laguna Beach,CA,Orange,10104069-Project_Cherry,69014
78,48342,42.6942,-83.2885,Pontiac,MI,Oakland,10104894 - Amazon AMZL Pontiac MI,KPTK0
79,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,VDC-Testing Ground,KCPS0
80,37321,35.5564,-84.9792,Dayton,TN,Rhea,10103436 - Project Dayton Field2.0,KMMI0
81,43062,40.0149,-82.6243,Pataskala,OH,Licking,10103738 - Kohl's Project 66,KVTA0
82,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10103730 - Centene Hanley Tower TI,KCPS0
83,37309,35.3228,-84.7364,Calhoun,TN,Mcminn,10103287-Resolute_Forest_Products,KRZR0
84,60602,41.8119,-87.6872,Chicago,IL,Cook,10103255 - Macy's Chicago,72534
85,60607,41.9289,-87.8138,Chicago,IL,Cook,10103648 - 215 Peoria,72530
86,16802,40.7997,-77.8623,University Park,PA,Centre,10103714 - PSU West Campus Garage,KUNV0
87,57108,43.5504,-96.6969,Sioux Falls,SD,Minnehaha,10103283-CITI_Sioux_Falls,72651
88,29334,34.9354,-81.9925,Duncan,SC,Spartanburg,10103308 - Inland 85 Building A,KSPA0
89,44128,41.4394,-81.5339,Cleveland,OH,Cuyahoga,10103191-Project_Goliath,KCGF0
90,36615,30.6411,-88.0622,Mobile,AL,Mobile,10102922-Blue_Marlin,KBFM0
91,60606,41.8119,-87.6872,Chicago,IL,Cook,10102675-Willis Tower Repositioning,72534
92,37421,35.0405,-85.1538,Chattanooga,TN,Hamilton,10104583_Volkswagen,72324
93,30303,33.7525,-84.39200000000001,Atlanta,GA,Fulton,10102944 - SCAD Atlanta,KFTY0
94,63114,38.7023,-90.3644,Saint Louis,MO,Saint Louis,LJC Training Project,KCPS0
95,63113,38.6301,-90.2532,Saint Louis,MO,Saint Louis City,BIM360_VDC-Helpdesk_2018,KCPS0
96,95837,38.6929,-121.603,Sacramento,CA,Sacramento,10104833 - Project First Base,KSMF0
97,53158,42.5293,-87.8854,Pleasant Prairie,WI,Kenosha,10104797 - Bluepoint Offsite Work,KENW0
98,98327,47.0909,-122.65700000000001,Dupont,WA,Pierce,10104681 - DuPont Kimberly Clark TI,74207
99,18403,41.4876,-75.5334,Archbald,PA,Lackawanna,10104676 - Archbald,KMPO0
100,98516,47.1126,-122.779,Olympia,WA,Thurston,10104658 - Hawks Prairie Building 1,74207
101,08056,39.7879,-75.2467,Mickleton,NJ,Gloucester,10104487 - Harmony Road,72408
102,08056,39.7879,-75.2467,Mickleton,NJ,Gloucester,10104480 - Huff Road,72408
103,98848,47.1822,-119.75399999999999,Quincy,WA,Grant,10104627 Quincy MWH06,72790
104,66030,38.815,-94.9414,Gardner,KS,Johnson,10104465 - Inland Port VII,72447
105,35808,34.6776,-86.6121,Huntsville,AL,Madison,10104747 - MSFC Engine Test Facility,74001
106,60601,41.8119,-87.6872,Chicago,IL,Cook,10104379 - Clayco Chicago Office Updates,72534
107,45377,39.889,-84.2422,Vandalia,OH,Montgomery,10104224-Chewy,72429
108,28146,35.6187,-80.4021,Salisbury,NC,Rowan,10104186 - Project Kodiak,KRUQ0
