,Unnamed: 0,zip,latitude,longitude,city,state,county,name,Weather_Stations,Start_date,End_date,AVG_TEMP,AVG_MIN_TEMP,AVG_MAX_TEMP,AVG_PRECIPITATION
62,62,72701,35.9746,-94.191,Fayetteville,AR,Washington,BF0104663 - Project Wolfspeed,KFYV0,2019-04-01,2019-11-30,1.3227272727272728,0.33636363636363636,2.3883116883116884,0.33246753246753247
63,63,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10104960 - Centene Carondelet Lobby Remodel,KCPS0,2019-11-01,2020-05-01,4.6812903225806455,-0.09483870967741935,9.845161290322581,0.13483870967741934
64,64,63110,38.6254,-90.2681,Saint Louis,MO,Saint Louis City,10104699 - WUSM Couch Lab Building - 1st Floor Buildout,KCPS0,2019-07-01,2020-08-03,12.107380073800739,7.16309963099631,17.48118081180812,0.17158671586715868
65,65,60446,41.6404,-88.0695,Romeoville,IL,Will,10103123_Interchange 55 Logistics Park,KLOT0,2018-03-01,2019-02-22,9.848816568047337,5.373668639053254,14.51715976331361,0.0
66,66,46168,39.7299,-86.4234,Plainfield,IN,Hendricks,10103252-Kohl's EFC5 Interior Renovations,KEYE0,2018-09-24,2019-08-05,10.275961538461539,5.9625,14.765064102564102,0.3548076923076923
67,67,60604,41.8119,-87.6872,Chicago,IL,Cook,10103524 - 175 West Jackson,72534,2018-11-01,2019-10-31,10.463013698630137,6.276164383561643,14.86109589041096,3.9704109589041097
68,68,63134,38.7435,-90.3409,Saint Louis,MO,Saint Louis,10103250-SKF_Expansion,KSET0,2018-05-01,2018-10-01,24.612418300653594,19.14640522875817,30.473202614379083,0.5450980392156862
69,69,60410,41.4331,-88.1992,Channahon,IL,Will,10104732 - Tarpon 3.0 at Cross Roads 55,72013,2019-09-17,2020-08-30,3.899492385786802,-0.21319796954314724,8.256345177664974,0.0
70,70,63132,38.6746,-90.3747,Saint Louis,MO,Saint Louis,10104741 - Benson Hill Tenant Build Out,KCPS0,2019-07-01,2020-05-01,12.107380073800739,7.16309963099631,17.48118081180812,0.17158671586715868
71,71,63105,38.6459,-90.3264,Saint Louis,MO,Saint Louis,10103342_CENTENE U-ECE CENTER,KCPS0,2018-06-25,2019-04-01,11.845054945054946,7.1611721611721615,17.02087912087912,0.2827838827838828
72,72,45377,39.889,-84.2422,Vandalia,OH,Montgomery,10104412_Project_Cayman,72429,2018-12-03,2019-06-17,7.321319796954315,2.6345177664974617,12.111675126903553,3.8548223350253807
73,73,61109,42.1967,-89.0655,Rockford,IL,Winnebago,10103519-Project_Quickstart,72543,2018-06-04,2020-02-13,9.995161290322581,5.04,14.950483870967743,3.7185483870967744
